iter	RMSE
0	11640.61974
1	11287.5852
2	10955.0499
3	10640.7098
4	10327.22551
5	10038.05153
6	9744.758675
7	9503.864309
8	9239.006122
9	8975.068813
10	8740.770668
11	8512.632391
12	8287.205679
13	8071.65602
14	7883.402977
15	7697.834476
16	7540.659837
17	7362.989475
18	7200.016683
19	7058.847824
20	6909.39035
21	6785.185117
22	6654.305862
23	6525.922746
24	6409.477312
25	6289.178037
26	6182.496355
27	6088.528564
28	5991.24361
29	5898.95833
30	5817.662583
31	5735.777125
32	5666.38799
33	5601.040544
34	5531.538048
35	5463.877276
36	5407.560675
37	5350.584118
38	5295.589821
39	5241.986539
40	5188.349316
41	5140.056296
42	5090.831887
43	5048.816932
44	5010.045627
45	4979.110236
46	4942.308377
47	4909.420175
48	4875.245733
49	4846.905603
50	4823.380374
51	4795.886738
52	4769.832102
53	4741.807827
54	4717.130752
55	4699.057927
56	4680.032197
57	4660.770286
58	4641.662678
59	4624.64539
60	4606.721526
61	4593.720085
62	4577.755464
63	4564.515815
64	4550.511973
65	4536.943301
66	4524.365754
67	4508.76399
68	4497.641119
69	4489.204539
70	4475.419245
71	4464.654024
72	4455.52852
73	4445.911713
74	4437.081268
75	4427.492333
76	4417.001002
77	4407.984489
78	4398.979883
79	4388.860975
80	4383.855407
81	4376.065684
82	4373.418072
83	4368.218291
84	4356.968323
85	4350.018263
86	4344.572079
87	4336.99975
88	4330.215931
89	4325.790354
90	4322.13847
91	4315.712431
92	4308.902735
93	4304.734562
94	4299.493602
95	4297.118933
96	4293.056152
97	4289.193836
98	4286.200422
99	4282.887282
100	4277.951493
101	4274.852721
102	4271.464108
103	4268.73652
104	4265.755005
105	4263.113975
106	4258.378363
107	4254.221403
108	4249.529757
109	4246.986778
110	4245.28947
111	4238.499917
112	4237.406026
113	4232.577557
114	4227.552086
115	4224.706028
116	4219.955617
117	4217.03937
118	4214.609632
119	4211.524059
120	4205.975034
121	4203.623875
122	4197.6575
123	4194.537236
124	4192.208709
125	4189.997045
126	4187.260434
127	4185.042159
128	4180.15934
129	4177.047366
130	4174.711217
131	4171.978013
132	4168.548162
133	4166.903716
134	4162.951041
135	4160.025891
136	4157.586556
137	4155.056712
138	4150.324543
139	4147.663171
140	4144.108969
141	4140.050043
142	4137.802138
143	4134.526618
144	4131.073402
145	4127.589734
146	4124.591152
147	4120.629267
148	4117.419952
149	4114.507766
150	4113.135243
151	4111.363775
152	4109.758668
153	4107.016361
154	4103.219186
155	4101.142317
156	4097.776347
157	4095.661822
158	4093.847806
159	4092.543604
160	4089.8266
161	4085.47536
162	4082.166063
163	4080.324646
164	4078.122132
165	4076.455411
166	4075.009937
167	4071.433605
168	4069.393029
169	4065.729226
170	4063.860802
171	4061.861701
172	4057.597587
173	4054.960935
174	4053.082622
175	4047.848182
176	4046.788494
177	4045.468747
178	4042.206476
179	4037.942027
180	4036.068658
181	4035.114107
182	4030.373374
183	4027.750072
184	4023.218207
185	4019.781076
186	4017.995969
187	4014.776944
188	4011.096144
189	4008.295573
190	4003.346299
191	4000.895855
192	3996.075916
193	3995.240263
194	3993.632775
195	3990.779984
196	3986.376595
197	3984.233267
198	3981.634688
199	3977.940352
200	3977.069851
201	3973.370453
202	3970.171058
203	3968.042996
204	3964.193543
205	3959.879528
206	3956.913933
207	3954.922679
208	3953.714154
209	3950.306198
210	3948.670491
211	3947.961173
212	3946.909493
213	3945.639163
214	3942.043505
215	3940.624083
216	3939.385918
217	3938.458189
218	3935.625462
219	3932.245176
220	3929.82909
221	3927.91417
222	3924.541157
223	3922.202025
224	3920.937219
225	3918.049555
226	3916.532009
227	3911.184265
228	3905.695022
229	3903.448883
230	3901.290878
231	3900.147456
232	3897.564098
233	3896.050972
234	3893.860235
235	3890.17388
236	3885.616718
237	3884.018266
238	3882.195916
239	3878.812263
240	3877.148894
241	3872.760309
242	3870.587254
243	3866.198532
244	3863.157294
245	3859.216607
246	3857.163587
247	3856.474477
248	3853.412493
249	3849.753109
250	3847.91762
251	3845.664139
252	3841.278381
253	3836.896886
254	3834.853934
255	3831.214728
256	3828.469536
257	3823.803938
258	3820.760685
259	3818.5413
260	3816.387905
261	3813.988291
262	3812.12544
263	3811.719691
264	3809.836318
265	3808.015299
266	3803.14878
267	3801.155261
268	3800.20607
269	3799.715324
270	3795.586028
271	3789.777892
272	3788.047309
273	3784.867231
274	3782.212124
275	3777.984086
276	3776.920184
277	3774.378138
278	3770.33403
279	3766.117275
280	3760.610474
281	3759.082485
282	3754.994656
283	3750.831698
284	3749.789951
285	3749.014982
286	3747.384027
287	3746.609757
288	3745.842821
289	3742.056927
290	3741.238816
291	3737.236562
292	3735.506539
293	3733.538461
294	3731.788169
295	3728.35437
296	3725.460314
297	3723.808792
298	3719.323323
299	3716.581526
300	3711.549963
301	3709.920839
302	3708.06425
303	3704.171136
304	3702.706657
305	3701.649518
306	3701.008424
307	3698.132976
308	3697.400807
309	3696.786725
310	3696.603303
311	3695.215747
312	3691.780045
313	3691.066319
314	3689.296622
315	3688.436356
316	3687.302278
317	3684.363734
318	3682.208511
319	3679.36079
320	3675.625427
321	3673.136883
322	3669.363754
323	3665.64964
324	3663.754357
325	3661.78232
326	3659.083338
327	3656.249191
328	3653.921494
329	3650.185036
330	3649.89278
331	3645.836272
332	3644.923681
333	3641.641963
334	3640.955363
335	3637.750749
336	3635.347455
337	3631.715911
338	3628.198166
339	3625.664554
340	3624.138272
341	3620.771252
342	3620.470504
343	3619.314521
344	3613.915559
345	3610.115117
346	3608.23245
347	3604.717601
348	3603.940663
349	3603.070152
350	3602.519514
351	3600.45083
352	3599.471237
353	3596.482553
354	3596.007949
355	3593.808315
356	3590.68674
357	3588.815527
358	3587.56038
359	3586.139202
360	3584.356173
361	3578.396208
362	3575.196581
363	3574.587916
364	3573.801323
365	3571.131105
366	3570.573346
367	3569.829341
368	3566.608803
369	3564.913325
370	3559.942773
371	3557.094751
372	3556.95217
373	3551.806528
374	3549.297249
375	3546.850896
376	3545.23579
377	3544.383797
378	3543.648934
379	3540.79141
380	3539.218568
381	3536.293638
382	3534.152349
383	3533.606556
384	3528.611718
385	3526.829237
386	3526.271992
387	3523.215404
388	3520.531266
389	3518.244107
390	3514.205011
391	3511.812855
392	3506.882866
393	3504.913548
394	3503.021162
395	3502.922414
396	3502.23555
397	3499.094598
398	3496.748457
399	3495.030801
400	3489.303234
401	3487.334031
402	3485.439802
403	3483.517764
404	3482.627964
405	3482.03304
406	3477.470399
407	3473.291975
408	3470.509007
409	3468.144004
410	3465.08008
411	3464.925616
412	3461.13835
413	3458.163213
414	3456.377018
415	3455.166942
416	3454.637388
417	3452.835023
418	3452.697151
419	3448.446369
420	3447.518867
421	3446.291441
422	3443.429668
423	3443.155898
424	3441.607519
425	3441.211299
426	3439.478578
427	3438.610769
428	3438.086933
429	3437.654557
430	3435.625305
431	3435.159459
432	3432.315272
433	3431.896726
434	3430.83267
435	3426.061025
436	3424.363233
437	3420.866799
438	3418.458233
439	3416.285563
440	3414.075582
441	3413.045999
442	3412.602324
443	3410.76861
444	3409.876876
445	3407.681064
446	3406.348403
447	3403.284593
448	3403.145463
449	3399.074635
450	3398.865411
451	3397.408276
452	3395.451374
453	3393.306431
454	3392.324922
455	3389.859877
456	3389.268764
457	3388.547576
458	3385.9366
459	3383.533444
460	3380.282779
461	3377.66624
462	3373.587713
463	3371.729295
464	3370.423076
465	3369.04644
466	3366.147656
467	3364.573455
468	3364.164323
469	3361.501765
470	3359.484942
471	3358.563666
472	3356.436989
473	3355.214943
474	3354.695458
475	3353.835927
476	3352.310809
477	3348.922088
478	3347.605228
479	3345.566792
480	3342.770422
481	3338.747748
482	3337.034078
483	3335.540617
484	3332.354664
485	3329.733702
486	3329.309777
487	3325.552586
488	3323.036318
489	3321.732366
490	3320.208281
491	3319.487635
492	3316.094739
493	3314.342817
494	3310.977652
495	3307.203659
496	3304.70191
497	3303.831228
498	3302.775857
499	3300.229217
500	3299.044035
501	3298.700819
502	3296.552355
503	3295.82315
504	3293.379858
505	3291.687381
506	3291.235382
507	3290.483771
508	3288.893738
509	3286.541716
510	3286.159533
511	3282.724599
512	3279.255699
513	3275.279017
514	3270.52599
515	3269.689419
516	3268.852525
517	3267.986575
518	3264.923214
519	3261.692362
520	3260.770283
521	3259.078477
522	3258.590486
523	3255.621441
524	3251.643203
525	3251.380581
526	3250.063992
527	3246.670464
528	3246.414971
529	3243.192932
530	3242.606965
531	3240.558715
532	3239.636962
533	3236.191133
534	3233.952483
535	3231.666761
536	3229.876786
537	3226.754529
538	3224.558819
539	3224.045547
540	3223.042765
541	3222.137071
542	3218.575078
543	3217.101578
544	3216.582586
545	3214.16605
546	3212.409916
547	3211.391906
548	3210.925341
549	3210.510361
550	3208.79197
551	3207.901803
552	3206.131923
553	3205.425392
554	3204.624496
555	3203.500609
556	3200.097127
557	3199.192876
558	3198.25596
559	3197.073326
560	3195.638188
561	3194.101484
562	3192.066396
563	3188.372279
564	3186.308748
565	3183.35723
566	3181.925216
567	3180.134061
568	3177.546742
569	3173.945847
570	3169.894836
571	3166.592351
572	3164.815507
573	3163.88815
574	3163.302572
575	3163.070806
576	3162.807952
577	3161.707528
578	3160.786324
579	3159.509034
580	3159.404902
581	3158.450326
582	3154.661975
583	3153.256944
584	3153.041523
585	3150.909045
586	3148.106152
587	3145.093421
588	3144.819445
589	3143.433641
590	3142.556782
591	3142.027812
592	3140.828074
593	3139.126378
594	3136.031627
595	3134.770609
596	3132.127899
597	3131.898646
598	3131.785295
599	3131.35532
600	3128.67121
601	3124.441529
602	3122.203629
603	3118.630617
604	3117.063521
605	3114.866486
606	3113.315966
607	3111.49239
608	3111.380387
609	3109.340596
610	3107.061003
611	3104.84247
612	3104.045326
613	3101.396406
614	3099.6226
615	3099.054245
616	3097.437357
617	3094.001524
618	3092.427974
619	3091.688221
620	3091.153433
621	3091.047331
622	3090.417148
623	3089.000683
624	3088.117644
625	3084.391097
626	3081.974825
627	3079.855765
628	3079.497831
629	3075.138279
630	3073.843464
631	3073.202412
632	3071.805374
633	3071.239574
634	3069.473019
635	3067.507231
636	3064.603199
637	3064.12405
638	3062.75873
639	3062.541152
640	3061.641872
641	3060.180871
642	3059.563924
643	3058.080182
644	3057.403127
645	3054.137321
646	3052.394041
647	3048.793172
648	3047.625157
649	3047.145709
650	3045.070502
651	3043.139331
652	3042.375625
653	3042.075319
654	3040.330205
655	3040.069697
656	3039.737815
657	3038.044129
658	3036.361121
659	3035.931007
660	3033.741429
661	3033.4506
662	3031.381331
663	3029.264925
664	3029.168476
665	3028.41784
666	3028.140485
667	3025.926874
668	3025.762071
669	3025.042201
670	3024.711847
671	3021.68036
672	3019.013532
673	3018.802469
674	3017.473491
675	3016.919325
676	3014.187285
677	3011.989005
678	3009.561796
679	3008.799422
680	3006.705199
681	3006.064417
682	3004.747065
683	3001.910547
684	3000.212288
685	2999.760036
686	2999.683882
687	2996.875369
688	2995.157314
689	2994.359878
690	2994.0908
691	2991.247911
692	2989.733328
693	2989.521082
694	2987.936097
695	2987.565962
696	2985.954156
697	2984.733427
698	2982.728156
699	2981.347044
700	2978.067487
701	2976.960104
702	2976.69137
703	2976.279775
704	2973.931524
705	2973.007912
706	2971.382361
707	2969.40434
708	2968.336141
709	2965.657974
710	2964.108184
711	2961.154107
712	2959.828698
713	2957.639307
714	2956.342752
715	2953.06799
716	2952.675413
717	2952.178983
718	2951.84621
719	2950.618396
720	2948.716839
721	2948.026823
722	2945.888413
723	2944.392427
724	2942.555045
725	2941.038791
726	2938.736176
727	2938.524415
728	2935.311419
729	2934.623272
730	2933.836467
731	2932.780526
732	2930.950612
733	2929.117483
734	2927.337415
735	2925.905069
736	2923.002969
737	2921.183371
738	2918.276693
739	2913.780021
740	2912.405681
741	2912.092846
742	2910.021348
743	2909.780413
744	2908.857456
745	2908.159815
746	2906.563382
747	2904.558683
748	2902.616732
749	2901.221737
750	2899.790771
751	2898.453167
752	2898.267061
753	2894.056008
754	2891.668911
755	2890.517778
756	2886.962176
757	2885.023166
758	2883.752476
759	2882.823647
760	2880.027729
761	2879.563534
762	2877.261563
763	2875.067939
764	2873.464281
765	2873.283197
766	2871.077516
767	2869.363386
768	2868.073492
769	2867.218089
770	2865.864998
771	2863.717053
772	2860.296165
773	2856.388171
774	2854.217781
775	2853.922502
776	2852.453686
777	2850.938524
778	2848.525062
779	2846.704397
780	2845.689403
781	2844.879381
782	2842.302938
783	2841.929692
784	2841.612871
785	2840.660772
786	2839.161744
787	2838.5475
788	2837.271941
789	2837.018067
790	2835.300528
791	2833.216837
792	2831.985127
793	2830.328602
794	2830.017086
795	2829.685184
796	2828.238182
797	2826.64419
798	2825.242524
799	2824.866985
