iter	Passed	Remaining
0	2	2106
1	2	1427
2	3	1139
3	4	1047
4	4	994
5	5	937
6	6	895
7	6	854
8	7	833
9	8	826
10	9	817
11	9	802
12	10	789
13	10	754
14	11	752
15	12	742
16	12	729
17	13	714
18	13	712
19	15	759
20	16	754
21	16	745
22	17	730
23	17	727
24	19	742
25	19	736
26	20	731
27	20	728
28	21	727
29	22	728
30	23	729
31	24	727
32	24	713
33	25	711
34	25	710
35	26	715
36	27	712
37	28	710
38	29	718
39	29	714
40	30	714
41	31	712
42	31	708
43	32	705
44	33	702
45	33	693
46	34	691
47	34	688
48	37	720
49	37	718
50	38	717
51	39	712
52	39	712
53	40	716
54	41	714
55	42	713
56	42	711
57	43	709
58	44	706
59	45	707
60	46	708
61	46	705
62	47	703
63	47	699
64	48	697
65	49	695
66	49	694
67	50	694
68	51	695
69	52	693
70	53	694
71	53	694
72	54	693
73	55	692
74	57	707
75	58	706
76	58	705
77	59	703
78	60	703
79	60	701
80	61	699
81	62	697
82	62	690
83	63	688
84	63	686
85	64	684
86	65	682
87	65	680
88	66	678
89	66	676
90	67	674
91	68	675
92	69	674
93	70	674
94	70	673
95	71	673
96	72	671
97	72	670
98	73	668
99	74	666
100	74	665
101	75	664
102	76	662
103	76	663
104	77	661
105	78	660
106	79	659
107	79	657
108	81	663
109	82	669
110	83	671
111	84	672
112	85	668
113	86	670
114	86	669
115	88	670
116	89	678
117	90	679
118	91	679
119	92	679
120	93	680
121	94	680
122	95	682
123	96	683
124	97	683
125	98	682
126	99	681
127	99	680
128	100	678
129	101	677
130	102	681
131	103	681
132	104	681
133	105	680
134	106	679
135	106	678
136	107	676
137	108	675
138	108	674
139	109	675
140	110	674
141	111	673
142	112	672
143	112	671
144	113	669
145	114	668
146	114	666
147	115	664
148	116	663
149	116	661
150	117	659
151	119	668
152	120	666
153	121	665
154	121	664
155	122	662
156	123	660
157	123	660
158	124	658
159	125	657
160	125	655
161	126	654
162	127	654
163	128	656
164	129	654
165	130	653
166	130	652
167	131	653
168	132	651
169	134	656
170	135	655
171	135	654
172	136	652
173	137	650
174	137	650
175	138	648
176	139	647
177	139	646
178	141	647
179	141	646
180	143	647
181	143	647
182	144	645
183	145	644
184	146	643
185	146	643
186	147	642
187	148	640
188	149	639
189	149	638
190	150	637
191	151	635
192	152	636
193	152	634
194	153	633
195	154	632
196	155	634
197	156	633
198	157	632
199	158	633
200	159	632
201	159	631
202	160	629
203	160	628
204	161	628
205	163	628
206	163	627
207	164	625
208	165	624
209	165	623
210	166	623
211	167	621
212	167	620
213	168	619
214	169	617
215	169	616
216	171	617
217	174	625
218	174	623
219	175	622
220	176	622
221	177	623
222	178	621
223	179	620
224	179	618
225	181	621
226	182	620
227	182	618
228	183	617
229	184	618
230	185	617
231	186	615
232	186	614
233	187	613
234	188	613
235	189	612
236	189	611
237	190	609
238	191	608
239	191	607
240	192	606
241	193	604
242	194	605
243	194	603
244	196	604
245	196	603
246	197	602
247	198	602
248	199	603
249	200	602
250	201	601
251	202	600
252	202	599
253	204	600
254	205	599
255	205	598
256	206	596
257	207	595
258	207	594
259	208	593
260	209	591
261	209	590
262	210	589
263	210	587
264	211	586
265	212	585
266	212	583
267	213	582
268	214	581
269	214	580
270	215	579
271	216	578
272	216	576
273	217	575
274	218	574
275	218	574
276	222	580
277	223	579
278	227	588
279	228	587
280	229	586
281	230	585
282	230	584
283	231	583
284	232	583
285	233	582
286	234	581
287	235	581
288	237	583
289	238	582
290	239	582
291	240	583
292	241	583
293	242	582
294	243	581
295	244	580
296	244	579
297	245	578
298	246	576
299	246	575
300	247	574
301	248	573
302	249	574
303	252	577
304	253	578
305	254	576
306	255	576
307	256	575
308	256	574
309	257	572
310	258	571
311	258	570
312	259	569
313	259	567
314	260	567
315	261	565
316	262	564
317	262	563
318	263	562
319	264	561
320	265	560
321	267	562
322	269	564
323	270	565
324	271	564
325	272	563
326	274	565
327	275	564
328	276	564
329	277	562
330	278	562
331	279	561
332	279	560
333	281	560
334	281	559
335	282	558
336	283	558
337	285	559
338	286	558
339	287	557
340	289	559
341	289	557
342	290	556
343	291	556
344	293	556
345	293	555
346	294	554
347	295	552
348	295	551
349	296	551
350	297	550
351	298	549
352	299	549
353	300	548
354	301	547
355	302	546
356	302	545
357	303	544
358	304	543
359	305	542
360	306	541
361	306	541
362	308	540
363	308	539
364	309	538
365	310	537
366	311	537
367	312	536
368	313	536
369	315	537
370	316	536
371	317	535
372	319	537
373	320	536
374	321	536
375	324	537
376	325	538
377	326	537
378	327	536
379	328	535
380	329	535
381	330	534
382	331	534
383	334	535
384	335	535
385	336	535
386	337	534
387	338	533
388	339	533
389	341	533
390	342	533
391	343	532
392	343	531
393	344	529
394	345	528
395	347	529
396	349	531
397	350	530
398	351	528
399	351	527
400	353	527
401	354	526
402	355	526
403	356	526
404	357	524
405	357	523
406	358	522
407	360	522
408	361	522
409	362	521
410	363	521
411	364	520
412	365	519
413	366	519
414	368	518
415	368	517
416	369	517
417	370	516
418	372	515
419	373	515
420	374	515
421	375	513
422	376	513
423	377	512
424	378	511
425	380	513
426	382	513
427	383	512
428	384	512
429	385	510
430	386	510
431	387	509
432	388	508
433	388	507
434	389	506
435	390	505
436	391	504
437	391	502
438	392	501
439	393	500
440	394	499
441	395	498
442	395	497
443	396	496
444	396	495
445	397	493
446	398	492
447	399	491
448	399	490
449	400	489
450	401	488
451	401	487
452	402	485
453	402	484
454	403	483
455	404	482
456	405	481
457	406	480
458	407	480
459	408	479
460	410	479
461	410	478
462	411	477
463	412	475
464	412	474
465	414	475
466	415	474
467	416	473
